No.,EFA.ID,Date,lon,lat,Pb,O,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb
1,JPL86,1/23/2025,-118.128921,34.200775,0.059,42.081,1.333,7.067,19.736,0.187,0.786,6.317,12.936,2.412,0.244,6.189,0.0316,0.054,0.251,0.0044,0,0.028,0.079,0.0054,0.0368,0
2,JPL79,1/23/2025,-118.146431,34.199635,0.254,39.355,1.615,4.548,14.914,0.251,1.301,5.86,20.15,4.818,0.165,4.961,0.0134,0.0492,0.737,0.0037,0,0.0169,0.092,0.0051,0.0266,0
3,JPL61,1/19/2025,-118.135338,34.16643,0.044,41.592,2.037,7.052,19.874,0.252,0.313,8.065,9.739,1.133,0.299,9.313,0.0059,0.0167,0.083,0.0065,0,0.0281,0.084,0.0093,0.0365,0.0045
4,JPL52,1/19/2025,-118.188036,34.186943,0.0274,38.192,2.43,4.723,14.666,0.468,0.355,8.609,19.165,1.094,0.475,9.393,0.007,0.0222,0.102,0.0059,0,0.0222,0.198,0.005,0.0433,0
5,XPAH29,1/23/2025,-118.1096734,34.18833578,0.017,42.958,1.452,9.036,21.609,0.086,0.218,8.07,4.54,1.192,0.22,10.405,0.0067,0.0114,0.0466,0.0064,0.0039,0.0291,0.054,0.0088,0.0256,0.0042
6,XPAH20,1/23/2025,-118.1542975,34.19107799,0.671,32.775,1.63,0.373,5.086,0,1.091,0,52.883,2.919,0.064,1.204,0.0235,0,0.736,0,0,0,0.0448,0,0.0085,0
7,JPL51,1/19/2025,-118.178906,34.202526,0.0324,41.027,1.731,6.292,19.627,0.355,0.364,9.013,12.684,0.884,0.327,7.371,0.0047,0.0123,0.07,0.0058,0.0028,0.0188,0.123,0.0041,0.051,0
8,JPL77,1/23/2025,-118.146334,34.189415,0.117,39.866,1.638,5.119,17.035,0.261,1.11,8.298,16.841,2.409,0.197,5.626,0.0067,0.071,0.444,0.0043,0,0.0194,0.091,0.0052,0.0384,0.0028
9,JPL95,1/25/2025,-118.118895,34.149446,0.0242,41.143,2.083,6.566,19.226,0.329,0.325,8.046,10.535,1.07,0.321,9.921,0.0115,0.096,0.131,0.0059,0.0035,0.0217,0.112,0.0054,0.0237,0
10,JPL94,1/25/2025,-118.127954,34.149165,0.0319,41.023,1.946,6.632,19.043,0.269,0.373,8.099,10.612,1.039,0.295,10.211,0.0083,0.0315,0.155,0.0065,0.0034,0.0265,0.097,0.0094,0.0426,0
11,1590_A,1/24/2025,-118.0888207,34.1399091,0.0367,41.201,2.201,7.262,18.912,0.272,0.241,6.114,9.915,1.071,0.259,11.153,0.0109,0.249,0.145,0.0071,0,0.0261,0.092,0.0039,0.0232,0.0041
12,1590,1/24/2025,-118.0888207,34.1399091,0.0305,42.337,1.582,7.556,21.131,0.236,0.219,5.982,8.417,1.096,0.232,9.981,0.0111,0.214,0.128,0.0062,0,0.0231,0.094,0.0056,0.0262,0.0023
13,1620,1/24/2025,-118.1235035,34.17194037,0.0151,43.402,1.64,8.178,22.757,0.165,0.275,7.464,6.161,0.993,0.213,8.554,0.006,0.0165,0.053,0.0054,0.0037,0.0201,0.0442,0.0051,0.0264,0.0021
14,1630,1/24/2025,-118.1235035,34.17194037,0.0357,43.365,1.794,7.973,22.806,0.143,0.312,7.582,6.064,0.925,0.198,8.57,0.0051,0.0164,0.072,0.006,0,0.0276,0.061,0.0049,0.03,0.0047
15,JPL63,1/19/2025,-118.154636,34.165413,0.0439,39.785,2.496,5.834,17.18,0.394,0.425,9.393,14.424,1.068,0.402,8.192,0.0051,0.0235,0.133,0.006,0.004,0.0276,0.122,0.0079,0.0326,0.0029
16,JPL50,1/19/2025,-118.191721,34.199831,0.0242,39.186,2.346,4.732,16.834,0.43,0.386,9.199,16.999,0.881,0.48,8.166,0.0076,0.0255,0.094,0.0051,0.0022,0.0204,0.161,0.0034,0.0142,0.0033
17,1619,1/25/2025,-118.1153009,34.13904286,0.03,43.485,1.54,7.935,22.712,0.229,0.249,6.486,5.727,1.134,0.179,10.029,0.0059,0.0196,0.07,0.0069,0,0.0215,0.063,0.0045,0.0279,0.0037
18,JPL33,1/18/2025,-118.0699896,34.175049,0.0264,40.681,2.265,6.479,17.66,0.328,0.445,7.113,11.326,1.618,0.308,11.371,0.0115,0.0284,0.151,0.0073,0.0029,0.0255,0.106,0.0078,0.0355,0.0037
19,GPS09,1/17/2025,-118.1462144,34.15315981,0.0389,41.074,1.667,6.672,19.455,0.346,0.291,9.136,9.758,1.117,0.253,9.952,0.0055,0.0147,0.07,0.0056,0,0.0266,0.079,0.0073,0.0266,0.004
20,JPL89,1/23/2025,-118.19433,34.127434,0.034,41.492,2.212,6.928,19.548,0.282,0.43,8.026,10.859,1.295,0.261,8.139,0.0045,0.018,0.167,0.0065,0,0.0259,0.098,0.0082,0.0355,0.0024
21,JPL43,1/18/2025,-118.02007,34.17599,0.0232,42.128,2.268,4.867,22.377,0.323,0.298,8.365,9.495,0.89,0.228,8.459,0.0069,0.059,0.058,0.0044,0,0.0159,0.081,0.0049,0.0246,0.0039
22,JPL59,1/19/2025,-118.144892,34.173628,0.0451,41.062,1.917,6.621,19.153,0.289,0.428,8.539,12.645,1.243,0.298,7.455,0.0049,0.0172,0.114,0.0051,0.0031,0.0247,0.097,0.0077,0.0291,0.0031
23,JPL73,1/23/2025,-118.130156,34.188432,0.314,39.615,1.739,4.513,13.925,0.243,1.945,4.362,21.806,4.363,0.184,5.488,0.0085,0.13,0.999,0.0048,0.0116,0.011,0.08,0,0.0289,0.0023
24,JPL06,1/16/2025,-118.110278,34.176361,0.0159,36.791,2.76,3.019,13.363,0.735,0.374,10.18,25.443,0.625,0.522,5.907,0.0068,0.0217,0.052,0.004,0.0025,0.0127,0.161,0.0031,0,0.0029
25,JPL76,1/23/2025,-118.145178,34.191261,0.147,39.179,2.208,4.743,15.136,0.329,0.946,7.728,17.981,4.271,0.293,5.604,0.0082,0.0416,0.589,0.0053,0,0.0179,0.08,0.0032,0.0364,0
26,JPL15,1/17/2025,-118.1755,34.175306,0.0475,37.212,1.475,4.528,13.548,0.492,0.362,9.283,22.854,1.126,0.463,7.948,0.0056,0.0215,0.184,0.0051,0,0.021,0.217,0.0054,0.054,0
27,JPL07,1/17/2025,-118.162948,34.161926,0.0369,39.428,2.04,5.717,16.675,0.399,0.392,9.447,15.646,1.424,0.39,8.031,0.0059,0.0258,0.153,0.0056,0.0027,0.0211,0.112,0.0064,0.0409,0
28,JPL12,1/17/2025,-118.178213,34.191747,0.067,37.548,2.336,4.17,13.986,0.441,0.406,9.325,19.721,1.029,0.6,9.944,0.0089,0.03,0.171,0.0072,0,0.0249,0.17,0.0059,0.0114,0
29,JPL68,1/23/2025,-118.1630706,34.19871117,0.0376,40.654,2.58,6.016,18.562,0.426,0.464,9.24,11.929,1.148,0.215,8.31,0,0.0235,0.179,0.0049,0,0.0229,0.106,0.0052,0.0454,0.0029
