Environment,Media,System,Site,Site-Event-Code,Latitude,Longitude,Sample ID,MP Concentration,Concentration Units,Sample Volume (m3),Sample Collection Date,Discharge (cms)
River,Water,Santa Ana Delhi,SAD,SAD-BF-4,33.659855, -117.881293,SAD-BF-4-N-1,NA,NA,NA,2/21/22,0.067960433
River,Water,Santa Ana Delhi,SAD,SAD-BF-4,33.659855, -117.881293,SAD-BF-4-N-2,15.83729987,count/m3,23.11,2/21/22,0.067960433
River,Water,Santa Ana Delhi,SAD,SAD-BF-4,33.659855, -117.881293,SAD-BF-4-N-3,NA,NA,NA,2/21/22,0.067960433
River,Water,Santa Ana Delhi,SAD,SAD-DF-1,33.659855, -117.881293,SAD-DF-1-N-1,NA,NA,NA,6/21/21,0.101940649
River,Water,Santa Ana Delhi,SAD,SAD-DF-1,33.659855, -117.881293,SAD-DF-1-N-2,9.797866367,count/m3,35.62,6/21/21,0.101940649
River,Water,Santa Ana Delhi,SAD,SAD-DF-1,33.659855, -117.881293,SAD-DF-1-N-3,NA,NA,NA,6/21/21,0.101940649
River,Water,Santa Ana Delhi,SAD,SAD-DF-2,33.659855, -117.881293,SAD-DF-2-N-1,NA,NA,NA,7/19/21,0.053802009
River,Water,Santa Ana Delhi,SAD,SAD-DF-2,33.659855, -117.881293,SAD-DF-2-N-2,17.62991744,count/m3,20.59,7/19/21,0.053802009
River,Water,Santa Ana Delhi,SAD,SAD-DF-2,33.659855, -117.881293,SAD-DF-2-N-3,NA,NA,NA,7/19/21,0.053802009
River,Water,Santa Ana Delhi,SAD,SAD-DF-3,33.659855, -117.881293,SAD-DF-3-N_S,40.06805615,count/m3,23.51,9/2/21,0.116099073
River,Water,Santa Ana Delhi,SAD,SAD-SF-1,33.659855, -117.881293,SAD-SF-1-N-1,NA,NA,NA,1/23/21,1.019406492
River,Water,Santa Ana Delhi,SAD,SAD-SF-1,33.659855, -117.881293,SAD-SF-1-N-2,1179.497908,count/m3,23.9,1/23/21,1.019406492
River,Water,Santa Ana Delhi,SAD,SAD-SF-1,33.659855, -117.881293,SAD-SF-1-N-3,NA,NA,NA,1/23/21,1.019406492
River,Water,Santa Ana Delhi,SAD,SAD-SF-2,33.659855, -117.881293,SAD-SF-2-N-1,NA,NA,NA,1/28/21,10.10911438
River,Water,Santa Ana Delhi,SAD,SAD-SF-2,33.659855, -117.881293,SAD-SF-2-N-2,10365.90909,count/m3,0.44,1/28/21,10.10911438
River,Water,Santa Ana Delhi,SAD,SAD-SF-2,33.659855, -117.881293,SAD-SF-2-N-3,NA,NA,NA,1/28/21,10.10911438
